Kankersoort;Periode;Geslacht;Leeftijdsgroep;Aantal
Kanker van bot, kraakbeen en weke delen;2004;Man;Totaal;481
Kanker van bot, kraakbeen en weke delen;2004;Man;15-29;49
Kanker van bot, kraakbeen en weke delen;2004;Man;75+;84
Kanker van bot, kraakbeen en weke delen;2004;Man;30-44;94
Kanker van bot, kraakbeen en weke delen;2004;Man;60-74;97
Kanker van bot, kraakbeen en weke delen;2005;Man;45-59;117
Kanker van bot, kraakbeen en weke delen;2005;Man;60-74;127
Kanker van bot, kraakbeen en weke delen;2005;Man;0-14;41
Kanker van bot, kraakbeen en weke delen;2005;Man;Totaal;496
Kanker van bot, kraakbeen en weke delen;2005;Man;15-29;55
Kanker van bot, kraakbeen en weke delen;2005;Man;75+;77
Kanker van bot, kraakbeen en weke delen;2005;Man;30-44;79
Kanker van bot, kraakbeen en weke delen;2006;Man;45-59;120
Kanker van bot, kraakbeen en weke delen;2006;Man;60-74;121
Kanker van bot, kraakbeen en weke delen;2006;Man;0-14;37
Kanker van bot, kraakbeen en weke delen;2006;Man;15-29;45
Kanker van bot, kraakbeen en weke delen;2006;Man;Totaal;511
Kanker van bot, kraakbeen en weke delen;2006;Man;30-44;92
Kanker van bot, kraakbeen en weke delen;2006;Man;75+;96
Kanker van bot, kraakbeen en weke delen;2007;Man;45-59;105
Kanker van bot, kraakbeen en weke delen;2007;Man;60-74;145
Borstkanker;2014;Man;0-14;0
Borstkanker;2014;Man;15-29;0
Borstkanker;2014;Man;Totaal;102
Borstkanker;2014;Man;45-59;14
Borstkanker;2014;Man;75+;35
Borstkanker;2014;Man;60-74;48
Borstkanker;2014;Man;30-44;5
Borstkanker;2015;Man;0-14;0
Borstkanker;2015;Man;15-29;0
Borstkanker;2015;Man;45-59;20
Borstkanker;2015;Man;30-44;3
Borstkanker;2015;Man;75+;30
Borstkanker;2015;Man;60-74;46
Borstkanker;2015;Man;Totaal;99
Borstkanker;2016;Man;0-14;0
Borstkanker;2016;Man;15-29;0
Borstkanker;2016;Man;Totaal;135
Borstkanker;2016;Man;45-59;19
Borstkanker;2016;Man;30-44;2
Borstkanker;2016;Man;75+;50
Borstkanker;2016;Man;60-74;64
Borstkanker;2017;Man;0-14;0
Borstkanker;2017;Man;15-29;1
Borstkanker;2017;Man;Totaal;120
Borstkanker;2017;Man;45-59;26
Borstkanker;2017;Man;30-44;3
Borstkanker;2017;Man;75+;36
Borstkanker;2017;Man;60-74;54
Borstkanker;2018;Man;0-14;0
Borstkanker;2018;Man;Totaal;119
Borstkanker;2018;Man;15-29;2
Borstkanker;2018;Man;45-59;20
Borstkanker;2018;Man;75+;28
Borstkanker;2018;Man;60-74;62
Borstkanker;2018;Man;30-44;7
Kanker van de vrouwelijke geslachtsorganen;2004;Vrouw;45-59;1123
Kanker van de vrouwelijke geslachtsorganen;2004;Vrouw;60-74;1538
Kanker van de vrouwelijke geslachtsorganen;2004;Vrouw;0-14;4
Kanker van de vrouwelijke geslachtsorganen;2004;Vrouw;Totaal;4142
Kanker van de vrouwelijke geslachtsorganen;2004;Vrouw;30-44;424
Kanker van de vrouwelijke geslachtsorganen;2004;Vrouw;15-29;57
Kanker van de vrouwelijke geslachtsorganen;2004;Vrouw;75+;996
Kanker van de vrouwelijke geslachtsorganen;2005;Vrouw;75+;1046
Kanker van de vrouwelijke geslachtsorganen;2005;Vrouw;45-59;1162
Kanker van de vrouwelijke geslachtsorganen;2005;Vrouw;60-74;1424
Kanker van de vrouwelijke geslachtsorganen;2005;Vrouw;30-44;399
Kanker van de vrouwelijke geslachtsorganen;2005;Vrouw;Totaal;4080
Kanker van de vrouwelijke geslachtsorganen;2005;Vrouw;15-29;42
Kanker van de vrouwelijke geslachtsorganen;2005;Vrouw;0-14;7
Kanker van de vrouwelijke geslachtsorganen;2006;Vrouw;45-59;1086
Kanker van de vrouwelijke geslachtsorganen;2006;Vrouw;60-74;1439
Kanker van de vrouwelijke geslachtsorganen;2006;Vrouw;30-44;397
Kanker van de vrouwelijke geslachtsorganen;2006;Vrouw;Totaal;3981
Kanker van de vrouwelijke geslachtsorganen;2006;Vrouw;0-14;4
Kanker van de vrouwelijke geslachtsorganen;2006;Vrouw;15-29;57
Kanker van de vrouwelijke geslachtsorganen;2006;Vrouw;75+;998
Kanker van de vrouwelijke geslachtsorganen;2007;Vrouw;75+;1026
Kanker van de vrouwelijke geslachtsorganen;2007;Vrouw;45-59;1140
Kanker van de vrouwelijke geslachtsorganen;2007;Vrouw;60-74;1538
Kanker van de vrouwelijke geslachtsorganen;2007;Vrouw;0-14;3
Kanker van de vrouwelijke geslachtsorganen;2007;Vrouw;Totaal;4240
Kanker van de vrouwelijke geslachtsorganen;2007;Vrouw;30-44;479
Kanker van de vrouwelijke geslachtsorganen;2007;Vrouw;15-29;54
Kanker van de vrouwelijke geslachtsorganen;2008;Vrouw;45-59;1102
Kanker van de vrouwelijke geslachtsorganen;2008;Vrouw;75+;1103
Kanker van de vrouwelijke geslachtsorganen;2008;Vrouw;60-74;1676
Kanker van de vrouwelijke geslachtsorganen;2008;Vrouw;30-44;397
Kanker van de vrouwelijke geslachtsorganen;2008;Vrouw;Totaal;4354
Kanker van de vrouwelijke geslachtsorganen;2008;Vrouw;0-14;6
Huidkanker;1999;Man en vrouw;75+;2091
Huidkanker;1999;Man en vrouw;Totaal;5853
Huidkanker;1999;Man en vrouw;30-44;663
Huidkanker;2000;Man en vrouw;45-59;1182
Huidkanker;2000;Man en vrouw;60-74;1713
Huidkanker;2000;Man en vrouw;15-29;185
Huidkanker;2000;Man en vrouw;75+;2169
Huidkanker;2000;Man en vrouw;Totaal;5915
Huidkanker;2000;Man en vrouw;30-44;658
Huidkanker;2000;Man en vrouw;0-14;8
Huidkanker;2001;Man en vrouw;45-59;1342
Huidkanker;2001;Man en vrouw;60-74;1940
Huidkanker;2001;Man en vrouw;15-29;205
Huidkanker;2001;Man en vrouw;75+;2295
Huidkanker;2001;Man en vrouw;Totaal;6513
Huidkanker;2001;Man en vrouw;30-44;722
Huidkanker;2001;Man en vrouw;0-14;9
Huidkanker;2002;Man en vrouw;45-59;1250
Huidkanker;2002;Man en vrouw;0-14;13
Huidkanker;2002;Man en vrouw;15-29;187
Huidkanker;2002;Man en vrouw;60-74;1922
Huidkanker;2002;Man en vrouw;75+;2342
Huidkanker;2002;Man en vrouw;Totaal;6508
Huidkanker;2002;Man en vrouw;30-44;794
Huidkanker;2003;Man en vrouw;45-59;1382
Huidkanker;2003;Man en vrouw;15-29;191
Huidkanker;2003;Man en vrouw;60-74;2087
Huidkanker;2003;Man en vrouw;75+;2492
Huidkanker;2003;Man en vrouw;Totaal;6991
Huidkanker;2003;Man en vrouw;30-44;830
Huidkanker;2003;Man en vrouw;0-14;9
Huidkanker;2004;Man en vrouw;45-59;1559
Huidkanker;2004;Man en vrouw;15-29;182
Huidkanker;2004;Man en vrouw;60-74;2348
Kanker van bot, kraakbeen en weke delen;2007;Man;0-14;38
Kanker van bot, kraakbeen en weke delen;2007;Man;Totaal;519
Kanker van bot, kraakbeen en weke delen;2007;Man;15-29;54
Kanker van bot, kraakbeen en weke delen;2007;Man;30-44;82
Kanker van bot, kraakbeen en weke delen;2007;Man;75+;95
Kanker van bot, kraakbeen en weke delen;2008;Man;45-59;113
Kanker van bot, kraakbeen en weke delen;2008;Man;60-74;145
Kanker van bot, kraakbeen en weke delen;2008;Man;0-14;31
Kanker van bot, kraakbeen en weke delen;2008;Man;15-29;46
Kanker van bot, kraakbeen en weke delen;2008;Man;Totaal;509
Kanker van bot, kraakbeen en weke delen;2008;Man;30-44;85
Kanker van bot, kraakbeen en weke delen;2008;Man;75+;89
Kanker van bot, kraakbeen en weke delen;2009;Man;45-59;112
Kanker van bot, kraakbeen en weke delen;2009;Man;60-74;139
Kanker van bot, kraakbeen en weke delen;2009;Man;0-14;33
Kanker van bot, kraakbeen en weke delen;2009;Man;15-29;47
Kanker van bot, kraakbeen en weke delen;2009;Man;Totaal;510
Kanker van bot, kraakbeen en weke delen;2009;Man;30-44;87
Kanker van bot, kraakbeen en weke delen;2009;Man;75+;92
Kanker van bot, kraakbeen en weke delen;2010;Man;75+;114
Kanker van bot, kraakbeen en weke delen;2010;Man;45-59;125
Kanker van bot, kraakbeen en weke delen;2010;Man;60-74;157
Kanker van bot, kraakbeen en weke delen;2010;Man;15-29;39
Kanker van bot, kraakbeen en weke delen;2010;Man;0-14;44
Kanker van bot, kraakbeen en weke delen;2010;Man;Totaal;565
Kanker van bot, kraakbeen en weke delen;2010;Man;30-44;86
Kanker van bot, kraakbeen en weke delen;2011;Man;75+;117
Kanker van bot, kraakbeen en weke delen;2011;Man;45-59;127
Kanker van bot, kraakbeen en weke delen;2011;Man;60-74;162
Kanker van bot, kraakbeen en weke delen;2011;Man;0-14;45
Kanker van bot, kraakbeen en weke delen;2011;Man;15-29;49
Kanker van bot, kraakbeen en weke delen;2011;Man;Totaal;574
Kanker van bot, kraakbeen en weke delen;2011;Man;30-44;74
Kanker van bot, kraakbeen en weke delen;2012;Man;75+;133
Kanker van bot, kraakbeen en weke delen;2012;Man;45-59;146
Borstkanker;1994;Vrouw;0-14;0
Borstkanker;1994;Vrouw;30-44;1285
Borstkanker;1994;Vrouw;75+;2067
Borstkanker;1994;Vrouw;45-59;3253
Borstkanker;1994;Vrouw;60-74;3320
Borstkanker;1994;Vrouw;15-29;61
Borstkanker;1994;Vrouw;Totaal;9986
Borstkanker;1995;Vrouw;0-14;0
Borstkanker;1995;Vrouw;30-44;1211
Borstkanker;1995;Vrouw;75+;1958
Borstkanker;1995;Vrouw;60-74;3074
Borstkanker;1995;Vrouw;45-59;3265
Borstkanker;1995;Vrouw;15-29;44
Borstkanker;1995;Vrouw;Totaal;9552
Borstkanker;1996;Vrouw;0-14;0
Borstkanker;1996;Vrouw;30-44;1316
Borstkanker;1996;Vrouw;75+;2031
Borstkanker;1996;Vrouw;60-74;3074
Borstkanker;1996;Vrouw;45-59;3409
Borstkanker;1996;Vrouw;15-29;64
Borstkanker;1996;Vrouw;Totaal;9894
Borstkanker;1997;Vrouw;0-14;0
Borstkanker;1997;Vrouw;30-44;1236
Borstkanker;1997;Vrouw;75+;2081
Borstkanker;1997;Vrouw;60-74;2945
Borstkanker;1997;Vrouw;45-59;3670
Borstkanker;1997;Vrouw;15-29;50
Borstkanker;1997;Vrouw;Totaal;9982
Borstkanker;1998;Vrouw;0-14;0
Borstkanker;1998;Vrouw;Totaal;10298
Borstkanker;1998;Vrouw;30-44;1345
Borstkanker;1998;Vrouw;75+;2206
Borstkanker;1998;Vrouw;60-74;2997
Borstkanker;1998;Vrouw;45-59;3685
Kanker van de vrouwelijke geslachtsorganen;2008;Vrouw;15-29;70
Kanker van de vrouwelijke geslachtsorganen;2009;Vrouw;45-59;1094
Kanker van de vrouwelijke geslachtsorganen;2009;Vrouw;75+;1171
Kanker van de vrouwelijke geslachtsorganen;2009;Vrouw;60-74;1580
Kanker van de vrouwelijke geslachtsorganen;2009;Vrouw;30-44;405
Kanker van de vrouwelijke geslachtsorganen;2009;Vrouw;Totaal;4314
Kanker van de vrouwelijke geslachtsorganen;2009;Vrouw;15-29;55
Kanker van de vrouwelijke geslachtsorganen;2009;Vrouw;0-14;9
Kanker van de vrouwelijke geslachtsorganen;2010;Vrouw;45-59;1088
Kanker van de vrouwelijke geslachtsorganen;2010;Vrouw;75+;1181
Kanker van de vrouwelijke geslachtsorganen;2010;Vrouw;60-74;1833
Kanker van de vrouwelijke geslachtsorganen;2010;Vrouw;0-14;3
Kanker van de vrouwelijke geslachtsorganen;2010;Vrouw;30-44;397
Kanker van de vrouwelijke geslachtsorganen;2010;Vrouw;Totaal;4568
Kanker van de vrouwelijke geslachtsorganen;2010;Vrouw;15-29;66
Kanker van de vrouwelijke geslachtsorganen;2011;Vrouw;45-59;1088
Kanker van de vrouwelijke geslachtsorganen;2011;Vrouw;75+;1169
Kanker van de vrouwelijke geslachtsorganen;2011;Vrouw;60-74;1759
Kanker van de vrouwelijke geslachtsorganen;2011;Vrouw;30-44;411
Kanker van de vrouwelijke geslachtsorganen;2011;Vrouw;Totaal;4499
Kanker van de vrouwelijke geslachtsorganen;2011;Vrouw;0-14;5
Kanker van de vrouwelijke geslachtsorganen;2011;Vrouw;15-29;67
Kanker van de vrouwelijke geslachtsorganen;2012;Vrouw;45-59;1035
Kanker van de vrouwelijke geslachtsorganen;2012;Vrouw;0-14;11
Kanker van de vrouwelijke geslachtsorganen;2012;Vrouw;75+;1132
Kanker van de vrouwelijke geslachtsorganen;2012;Vrouw;60-74;1788
Kanker van de vrouwelijke geslachtsorganen;2012;Vrouw;30-44;377
Kanker van de vrouwelijke geslachtsorganen;2012;Vrouw;Totaal;4422
Kanker van de vrouwelijke geslachtsorganen;2012;Vrouw;15-29;79
Kanker van de vrouwelijke geslachtsorganen;2013;Vrouw;75+;1175
Kanker van de vrouwelijke geslachtsorganen;2013;Vrouw;60-74;1804
Kanker van de vrouwelijke geslachtsorganen;2013;Vrouw;0-14;2
Kanker van de vrouwelijke geslachtsorganen;2013;Vrouw;30-44;403
Kanker van de vrouwelijke geslachtsorganen;2013;Vrouw;Totaal;4403
Huidkanker;2004;Man en vrouw;75+;2766
Huidkanker;2004;Man en vrouw;Totaal;7703
Huidkanker;2004;Man en vrouw;30-44;839
Huidkanker;2004;Man en vrouw;0-14;9
Huidkanker;2005;Man en vrouw;45-59;1662
Huidkanker;2005;Man en vrouw;15-29;203
Huidkanker;2005;Man en vrouw;60-74;2545
Huidkanker;2005;Man en vrouw;75+;3180
Huidkanker;2005;Man en vrouw;Totaal;8527
Huidkanker;2005;Man en vrouw;0-14;9
Huidkanker;2005;Man en vrouw;30-44;928
Huidkanker;2006;Man en vrouw;0-14;10
Huidkanker;2006;Man en vrouw;45-59;1679
Huidkanker;2006;Man en vrouw;15-29;174
Huidkanker;2006;Man en vrouw;60-74;2819
Huidkanker;2006;Man en vrouw;75+;3416
Huidkanker;2006;Man en vrouw;30-44;883
Huidkanker;2006;Man en vrouw;Totaal;8981
Huidkanker;2007;Man en vrouw;45-59;1741
Huidkanker;2007;Man en vrouw;15-29;196
Huidkanker;2007;Man en vrouw;60-74;3156
Huidkanker;2007;Man en vrouw;75+;3776
Huidkanker;2007;Man en vrouw;0-14;7
Huidkanker;2007;Man en vrouw;30-44;930
Huidkanker;2007;Man en vrouw;Totaal;9806
Huidkanker;2008;Man en vrouw;Totaal;10663
Huidkanker;2008;Man en vrouw;45-59;1789
Huidkanker;2008;Man en vrouw;15-29;203
Huidkanker;2008;Man en vrouw;60-74;3535
Huidkanker;2008;Man en vrouw;75+;4172
Huidkanker;2008;Man en vrouw;0-14;9
Huidkanker;2008;Man en vrouw;30-44;955
Huidkanker;2009;Man en vrouw;Totaal;11476
Huidkanker;2009;Man en vrouw;45-59;1858
Kanker van bot, kraakbeen en weke delen;2012;Man;60-74;182
Kanker van bot, kraakbeen en weke delen;2012;Man;0-14;31
Kanker van bot, kraakbeen en weke delen;2012;Man;15-29;44
Kanker van bot, kraakbeen en weke delen;2012;Man;30-44;56
Kanker van bot, kraakbeen en weke delen;2012;Man;Totaal;592
Kanker van bot, kraakbeen en weke delen;2013;Man;75+;123
Kanker van bot, kraakbeen en weke delen;2013;Man;45-59;129
Kanker van bot, kraakbeen en weke delen;2013;Man;60-74;149
Kanker van bot, kraakbeen en weke delen;2013;Man;0-14;43
Kanker van bot, kraakbeen en weke delen;2013;Man;15-29;48
Kanker van bot, kraakbeen en weke delen;2013;Man;Totaal;552
Kanker van bot, kraakbeen en weke delen;2013;Man;30-44;60
Kanker van bot, kraakbeen en weke delen;2014;Man;45-59;117
Kanker van bot, kraakbeen en weke delen;2014;Man;75+;142
Kanker van bot, kraakbeen en weke delen;2014;Man;60-74;174
Kanker van bot, kraakbeen en weke delen;2014;Man;15-29;48
Kanker van bot, kraakbeen en weke delen;2014;Man;0-14;53
Kanker van bot, kraakbeen en weke delen;2014;Man;30-44;55
Kanker van bot, kraakbeen en weke delen;2014;Man;Totaal;589
Kanker van bot, kraakbeen en weke delen;2015;Man;45-59;111
Kanker van bot, kraakbeen en weke delen;2015;Man;75+;139
Kanker van bot, kraakbeen en weke delen;2015;Man;60-74;198
Kanker van bot, kraakbeen en weke delen;2015;Man;0-14;37
Kanker van bot, kraakbeen en weke delen;2015;Man;30-44;56
Kanker van bot, kraakbeen en weke delen;2015;Man;Totaal;602
Kanker van bot, kraakbeen en weke delen;2015;Man;15-29;61
Kanker van bot, kraakbeen en weke delen;2016;Man;45-59;132
Kanker van bot, kraakbeen en weke delen;2016;Man;75+;139
Kanker van bot, kraakbeen en weke delen;2016;Man;60-74;185
Kanker van bot, kraakbeen en weke delen;2016;Man;0-14;38
Kanker van bot, kraakbeen en weke delen;2016;Man;15-29;52
Kanker van bot, kraakbeen en weke delen;2016;Man;30-44;55
Kanker van bot, kraakbeen en weke delen;2016;Man;Totaal;601
Kanker van bot, kraakbeen en weke delen;2017;Man;45-59;132
Kanker van bot, kraakbeen en weke delen;2017;Man;75+;151
Borstkanker;1998;Vrouw;15-29;65
Borstkanker;1999;Vrouw;0-14;0
Borstkanker;1999;Vrouw;Totaal;11212
Borstkanker;1999;Vrouw;30-44;1462
Borstkanker;1999;Vrouw;75+;2346
Borstkanker;1999;Vrouw;60-74;3541
Borstkanker;1999;Vrouw;45-59;3795
Borstkanker;1999;Vrouw;15-29;68
Borstkanker;2000;Vrouw;0-14;0
Borstkanker;2000;Vrouw;Totaal;11242
Borstkanker;2000;Vrouw;30-44;1381
Kanker van de urinewegen;1994;Man;60-74;1274
Kanker van de urinewegen;1994;Man;0-14;13
Kanker van de urinewegen;1994;Man;Totaal;2689
Kanker van de urinewegen;1994;Man;45-59;460
Kanker van de urinewegen;1994;Man;30-44;61
Kanker van de urinewegen;1994;Man;15-29;7
Kanker van de urinewegen;1994;Man;75+;874
Kanker van de urinewegen;1995;Man;60-74;1328
Kanker van de urinewegen;1995;Man;0-14;18
Kanker van de urinewegen;1995;Man;Totaal;2759
Kanker van de urinewegen;1995;Man;15-29;4
Kanker van de urinewegen;1995;Man;45-59;469
Kanker van de urinewegen;1995;Man;30-44;72
Kanker van de urinewegen;1995;Man;75+;868
Kanker van de urinewegen;1996;Man;60-74;1294
Kanker van de urinewegen;1996;Man;0-14;21
Kanker van de urinewegen;1996;Man;Totaal;2765
Kanker van de urinewegen;1996;Man;15-29;5
Kanker van de urinewegen;1996;Man;45-59;508
Kanker van de urinewegen;1996;Man;75+;849
Kanker van de urinewegen;1996;Man;30-44;88
Kanker van de urinewegen;1997;Man;60-74;1302
Kanker van de urinewegen;1997;Man;0-14;15
Kanker van de urinewegen;1997;Man;Totaal;2762
Kanker van de vrouwelijke geslachtsorganen;2013;Vrouw;15-29;71
Kanker van de vrouwelijke geslachtsorganen;2013;Vrouw;45-59;948
Kanker van de vrouwelijke geslachtsorganen;2014;Vrouw;75+;1228
Kanker van de vrouwelijke geslachtsorganen;2014;Vrouw;60-74;1789
Kanker van de vrouwelijke geslachtsorganen;2014;Vrouw;0-14;3
Kanker van de vrouwelijke geslachtsorganen;2014;Vrouw;30-44;427
Kanker van de vrouwelijke geslachtsorganen;2014;Vrouw;Totaal;4489
Kanker van de vrouwelijke geslachtsorganen;2014;Vrouw;15-29;75
Kanker van de vrouwelijke geslachtsorganen;2014;Vrouw;45-59;967
Kanker van de vrouwelijke geslachtsorganen;2015;Vrouw;45-59;1042
Kanker van de vrouwelijke geslachtsorganen;2015;Vrouw;75+;1246
Kanker van de vrouwelijke geslachtsorganen;2015;Vrouw;60-74;1850
Kanker van de vrouwelijke geslachtsorganen;2015;Vrouw;0-14;3
Kanker van de vrouwelijke geslachtsorganen;2015;Vrouw;30-44;348
Kanker van de vrouwelijke geslachtsorganen;2015;Vrouw;Totaal;4567
Kanker van de vrouwelijke geslachtsorganen;2015;Vrouw;15-29;78
Kanker van de vrouwelijke geslachtsorganen;2016;Vrouw;45-59;1038
Kanker van de vrouwelijke geslachtsorganen;2016;Vrouw;75+;1259
Kanker van de vrouwelijke geslachtsorganen;2016;Vrouw;60-74;1828
Kanker van de vrouwelijke geslachtsorganen;2016;Vrouw;30-44;429
Kanker van de vrouwelijke geslachtsorganen;2016;Vrouw;Totaal;4638
Kanker van de vrouwelijke geslachtsorganen;2016;Vrouw;0-14;5
Kanker van de vrouwelijke geslachtsorganen;2016;Vrouw;15-29;79
Kanker van de vrouwelijke geslachtsorganen;2017;Vrouw;75+;1288
Kanker van de vrouwelijke geslachtsorganen;2017;Vrouw;60-74;1927
Kanker van de vrouwelijke geslachtsorganen;2017;Vrouw;0-14;2
Kanker van de vrouwelijke geslachtsorganen;2017;Vrouw;30-44;420
Kanker van de vrouwelijke geslachtsorganen;2017;Vrouw;Totaal;4702
Kanker van de vrouwelijke geslachtsorganen;2017;Vrouw;15-29;67
Kanker van de vrouwelijke geslachtsorganen;2017;Vrouw;45-59;998
Kanker van de vrouwelijke geslachtsorganen;2018;Vrouw;45-59;1063
Kanker van de vrouwelijke geslachtsorganen;2018;Vrouw;75+;1269
Kanker van de vrouwelijke geslachtsorganen;2018;Vrouw;60-74;1958
Kanker van de vrouwelijke geslachtsorganen;2018;Vrouw;0-14;2
Huidkanker;2009;Man en vrouw;15-29;227
Huidkanker;2009;Man en vrouw;60-74;3847
Huidkanker;2009;Man en vrouw;75+;4562
Huidkanker;2009;Man en vrouw;0-14;6
Huidkanker;2009;Man en vrouw;30-44;976
Huidkanker;2010;Man en vrouw;0-14;10
Huidkanker;2010;Man en vrouw;Totaal;12864
Huidkanker;2010;Man en vrouw;15-29;189
Huidkanker;2010;Man en vrouw;45-59;2187
Huidkanker;2010;Man en vrouw;60-74;4391
Huidkanker;2010;Man en vrouw;75+;5160
Huidkanker;2010;Man en vrouw;30-44;927
Huidkanker;2011;Man en vrouw;Totaal;14330
Huidkanker;2011;Man en vrouw;15-29;205
Huidkanker;2011;Man en vrouw;45-59;2424
Huidkanker;2011;Man en vrouw;60-74;4885
Huidkanker;2011;Man en vrouw;75+;5832
Huidkanker;2011;Man en vrouw;0-14;7
Huidkanker;2011;Man en vrouw;30-44;977
Huidkanker;2012;Man en vrouw;Totaal;14565
Huidkanker;2012;Man en vrouw;15-29;183
Huidkanker;2012;Man en vrouw;45-59;2389
Huidkanker;2012;Man en vrouw;0-14;5
Huidkanker;2012;Man en vrouw;60-74;5115
Huidkanker;2012;Man en vrouw;75+;5954
Huidkanker;2012;Man en vrouw;30-44;919
Huidkanker;2013;Man en vrouw;Totaal;15108
Huidkanker;2013;Man en vrouw;15-29;200
Huidkanker;2013;Man en vrouw;45-59;2461
Huidkanker;2013;Man en vrouw;60-74;5267
Huidkanker;2013;Man en vrouw;75+;6290
Huidkanker;2013;Man en vrouw;0-14;8
Huidkanker;2013;Man en vrouw;30-44;882
Huidkanker;2014;Man en vrouw;0-14;11
Kanker van bot, kraakbeen en weke delen;2017;Man;60-74;176
Kanker van bot, kraakbeen en weke delen;2017;Man;15-29;37
Kanker van bot, kraakbeen en weke delen;2017;Man;0-14;44
Kanker van bot, kraakbeen en weke delen;2017;Man;30-44;47
Kanker van bot, kraakbeen en weke delen;2017;Man;Totaal;587
Kanker van bot, kraakbeen en weke delen;2018;Man;45-59;158
Kanker van bot, kraakbeen en weke delen;2018;Man;75+;160
Kanker van bot, kraakbeen en weke delen;2018;Man;60-74;186
Kanker van bot, kraakbeen en weke delen;2018;Man;0-14;53
Kanker van bot, kraakbeen en weke delen;2018;Man;15-29;63
Kanker van bot, kraakbeen en weke delen;2018;Man;Totaal;697
Kanker van bot, kraakbeen en weke delen;2018;Man;30-44;77
Kanker van bot, kraakbeen en weke delen;1994;Vrouw;0-14;32
Kanker van bot, kraakbeen en weke delen;1994;Vrouw;Totaal;363
Kanker van bot, kraakbeen en weke delen;1994;Vrouw;15-29;45
Kanker van bot, kraakbeen en weke delen;1994;Vrouw;30-44;53
Kanker van bot, kraakbeen en weke delen;1994;Vrouw;45-59;67
Kanker van bot, kraakbeen en weke delen;1994;Vrouw;60-74;83
Kanker van bot, kraakbeen en weke delen;1994;Vrouw;75+;83
Kanker van bot, kraakbeen en weke delen;1995;Vrouw;0-14;26
Kanker van bot, kraakbeen en weke delen;1995;Vrouw;Totaal;347
Kanker van bot, kraakbeen en weke delen;1995;Vrouw;15-29;42
Kanker van bot, kraakbeen en weke delen;1995;Vrouw;30-44;57
Kanker van bot, kraakbeen en weke delen;1995;Vrouw;45-59;60
Kanker van bot, kraakbeen en weke delen;1995;Vrouw;75+;75
Kanker van bot, kraakbeen en weke delen;1995;Vrouw;60-74;87
Kanker van bot, kraakbeen en weke delen;1996;Vrouw;0-14;36
Kanker van bot, kraakbeen en weke delen;1996;Vrouw;Totaal;368
Kanker van bot, kraakbeen en weke delen;1996;Vrouw;15-29;44
Kanker van bot, kraakbeen en weke delen;1996;Vrouw;30-44;52
Kanker van bot, kraakbeen en weke delen;1996;Vrouw;45-59;56
Kanker van bot, kraakbeen en weke delen;1996;Vrouw;75+;82
Kanker van bot, kraakbeen en weke delen;1996;Vrouw;60-74;98
Kanker van bot, kraakbeen en weke delen;1997;Vrouw;0-14;26
Kanker van bot, kraakbeen en weke delen;1997;Vrouw;Totaal;348
Kanker van de urinewegen;1997;Man;45-59;489
Kanker van de urinewegen;1997;Man;15-29;8
Kanker van de urinewegen;1997;Man;75+;857
Kanker van de urinewegen;1997;Man;30-44;91
Kanker van de urinewegen;1998;Man;60-74;1220
Kanker van de urinewegen;1998;Man;0-14;18
Kanker van de urinewegen;1998;Man;Totaal;2756
Kanker van de urinewegen;1998;Man;45-59;483
Kanker van de urinewegen;1998;Man;15-29;7
Kanker van de urinewegen;1998;Man;30-44;72
Kanker van de urinewegen;1998;Man;75+;956
Kanker van de urinewegen;1999;Man;0-14;10
Kanker van de urinewegen;1999;Man;60-74;1348
Kanker van de urinewegen;1999;Man;Totaal;2942
Kanker van de urinewegen;1999;Man;15-29;4
Kanker van de urinewegen;1999;Man;45-59;550
Kanker van de urinewegen;1999;Man;30-44;77
Kanker van de urinewegen;1999;Man;75+;953
Kanker van de urinewegen;2000;Man;60-74;1346
Kanker van de urinewegen;2000;Man;0-14;17
Kanker van de urinewegen;2000;Man;Totaal;2899
Kanker van de urinewegen;2000;Man;15-29;3
Kanker van de urinewegen;2000;Man;45-59;527
Kanker van de urinewegen;2000;Man;30-44;72
Kanker van de urinewegen;2000;Man;75+;934
Kanker van de urinewegen;2001;Man;60-74;1318
Kanker van de urinewegen;2001;Man;0-14;14
Kanker van de urinewegen;2001;Man;Totaal;2923
Kanker van de urinewegen;2001;Man;15-29;5
Kanker van de urinewegen;2001;Man;45-59;540
Kanker van de urinewegen;2001;Man;30-44;78
Kanker van de urinewegen;2001;Man;75+;968
Kanker van de urinewegen;2002;Man;75+;1008
Kanker van de urinewegen;2002;Man;60-74;1372
Kanker van de urinewegen;2002;Man;0-14;15
Kanker van de urinewegen;2002;Man;Totaal;2985
Kanker van de urinewegen;2002;Man;15-29;5
Kanker van de urinewegen;2002;Man;45-59;509
Kanker van de urinewegen;2002;Man;30-44;76
Kanker van de urinewegen;2003;Man;75+;1038
Kanker van de urinewegen;2003;Man;60-74;1338
Kanker van de urinewegen;2003;Man;0-14;21
Kanker van de urinewegen;2003;Man;Totaal;3065
Kanker van de urinewegen;2003;Man;45-59;584
Kanker van de urinewegen;2003;Man;15-29;6
Kanker van de urinewegen;2003;Man;30-44;78
Kanker van de urinewegen;2004;Man;75+;1084
Kanker van de urinewegen;2004;Man;0-14;13
Kanker van de urinewegen;2004;Man;60-74;1422
Kanker van de urinewegen;2004;Man;Totaal;3177
Kanker van de urinewegen;2004;Man;45-59;573
